label,workload,concurrency,max_num_seqs,status,ok,fail,rps,wall_time_s,summ_p50_s,summ_p90_s,summ_p99_s,summ_mean_s,overall_n,overall_p50,overall_p90,overall_p99,overall_mean,short_n,short_p50,short_p90,short_p99,short_mean,long_n,long_p50,long_p90,long_p99,long_mean
BAD_unfair,mix_50_50.jsonl,16,48,ok,200,0,11.097722628022082,18.02171550899948,1.3660246515000836,2.059437191500547,2.415820350859621,1.3951174956150272,200,1.3660246515000836,2.059437191500547,2.415820350859621,1.3951174956150272,108,1.093377511500421,1.7288613854997492,1.862830999280704,1.1428316789815147,92,1.6240986990001147,2.229516360499565,2.4894677886193226,1.691279106445672
BAD_unfair,mix_50_50.jsonl,32,48,ok,200,0,15.919386859917898,12.563297931000308,2.1054768704998423,2.8456481909998725,3.247368685389981,1.9651556587850385,200,2.1054768704998423,2.8456481909998725,3.247368685389981,1.9651556587850385,108,1.693808074000117,2.161707752300026,2.393489571480085,1.528889611111144,92,2.510293125500084,3.1087216659999286,3.5103626410594098,2.4772940625761315
BAD_unfair,mix_50_50.jsonl,48,48,ok,200,0,17.58409709943388,11.3739135349997,2.5403147370002443,3.975304318700182,4.849372434420129,2.450537770615024,200,2.5403147370002443,3.975304318700182,4.849372434420129,2.450537770615024,108,1.7903482864994658,2.901388399300231,3.366031425720746,1.814274357361093,92,2.9446274360002462,4.765613285100699,4.912422549569929,3.1974556905218123
BAD_unfair,mix_50_50.jsonl,64,48,ok,200,0,18.785692479329622,10.646400190999884,2.921785321499556,4.770702665700083,5.759355594030391,3.0552171190750097,200,2.921785321499556,4.770702665700083,5.759355594030391,3.0552171190750097,108,2.585360868999942,3.752827559700472,4.627748780069496,2.372276975916655,92,3.83252316800008,5.411071501600327,6.064678195800417,3.8569294610435128
BAD_unfair,mix_50_50.jsonl,1,64,ok,200,0,1.3195971255249,151.5614092600008,0.4575722824997683,1.283566011399762,1.3083940539801824,0.7576205841000047,200,0.4575722824997683,1.283566011399762,1.3083940539801824,0.7576205841000047,108,0.4557142859998748,0.4572148067996749,0.4595500540601824,0.4541345694259167,92,1.2228209294999033,1.2988620298997375,1.31005404178979,1.1138867752391513
BAD_unfair,mix_50_50.jsonl,2,64,ok,200,0,2.7215529258853413,73.48745567199967,0.7332939754996914,1.067262445200413,1.3128766673995595,0.7340938687099606,200,0.7332939754996914,1.067262445200413,1.3128766673995595,0.7340938687099606,108,0.488194827499683,0.7291866746004416,0.7445068591497874,0.5320855740462355,92,1.0183087529999284,1.2309629211004909,1.316692431060119,0.9712340407065077
BAD_unfair,mix_50_50.jsonl,4,64,ok,200,0,4.658324246411236,42.93389412600027,0.7939598170000863,1.2973302380999483,1.5742760641295623,0.850235475070017,200,0.7939598170000863,1.2973302380999483,1.5742760641295623,0.850235475070017,108,0.5120501275000606,0.95713595720008,1.0209755667198532,0.6296391992777478,92,1.0890202140003566,1.3662694896001994,1.6160574191494743,1.1091963205652895
BAD_unfair,mix_50_50.jsonl,8,64,ok,200,0,7.434882319996968,26.90022402400064,1.056195929000296,1.572493421099716,2.0227912142796955,1.0677895132900312,200,1.056195929000296,1.572493421099716,2.0227912142796955,1.0677895132900312,108,0.7991640299997016,1.1683442552001906,1.2889009027198517,0.8365645200833738,92,1.2890407690001666,1.7031029340997523,2.059612794400064,1.3392275487934986
BAD_unfair,mix_50_50.jsonl,16,64,ok,200,0,11.067443078138252,18.07102133599983,1.3833156219998273,1.8545450185995835,2.0606775311799903,1.393843025190031,200,1.3833156219998273,1.8545450185995835,2.0606775311799903,1.393843025190031,108,1.202716425500057,1.497443613700034,1.703063638529893,1.185144107435252,92,1.6331974569998238,1.9930965900000048,2.0627135484396333,1.6388374069021625
BAD_unfair,mix_50_50.jsonl,32,64,ok,200,0,15.559963660065993,12.853500455999892,1.9321294234996456,2.9044080998000026,3.1569274859999674,1.9651674921850328,200,1.9321294234996456,2.9044080998000026,3.1569274859999674,1.9651674921850328,108,1.605420083500121,2.3925111142998503,2.5815105826195848,1.615775644972254,92,2.4867801980003605,3.0918107990000863,3.203352925620357,2.3753231389130773
BAD_unfair,mix_50_50.jsonl,48,64,ok,200,0,19.016972839095004,10.516920946999562,2.6865062800002306,3.5338523774998065,3.748533413630121,2.3782712808549924,200,2.6865062800002306,3.5338523774998065,3.748533413630121,2.3782712808549924,108,1.7718968224999117,2.852241864899861,3.000507200189659,1.7743848833517777,92,3.1354867340000965,3.623280491299738,3.768621418039821,3.087181399663114
